@RELATION Dataset

@ATTRIBUTE value1 real
@ATTRIBUTE value2 real
@ATTRIBUTE value3 real
@ATTRIBUTE type {natural,unnatural}

@DATA
179.0,545.0,26.184,natural
98.0,1645.0,31.25619834710744,natural
73.0,5955.0,53.241106719367586,natural
88.0,1086.0,25.524886877828056,natural
86.0,1497.0,43.66326530612245,natural
29.0,52122.0,340.45418326693226,unnatural
41.0,10039.0,295.31854838709677,unnatural
30.0,24095.0,315.57085020242914,unnatural
36.0,20617.0,186.93951612903226,unnatural
28.0,25142.0,270.0088495575221,unnatural
52.0,3964.0,50.739837398373986,natural
52.0,3964.0,50.739837398373986,natural
52.0,3964.0,50.739837398373986,natural
52.0,3964.0,50.739837398373986,natural
52.0,3964.0,50.739837398373986,natural
52.0,3964.0,50.739837398373986,natural
52.0,3964.0,50.739837398373986,natural
52.0,3964.0,50.739837398373986,natural
52.0,3964.0,50.739837398373986,natural
52.0,3964.0,50.739837398373986,natural
52.0,3964.0,50.739837398373986,natural
52.0,3964.0,50.739837398373986,natural
52.0,3964.0,50.739837398373986,natural
52.0,3964.0,50.739837398373986,natural
52.0,3964.0,50.739837398373986,natural
52.0,3964.0,50.739837398373986,natural
52.0,3964.0,50.739837398373986,natural
52.0,3964.0,50.739837398373986,natural
52.0,3964.0,50.739837398373986,natural
